Town,Date,Sale Amount
Westbrook,2009-10-01,531250.0
Westbrook,2009-11-01,342550.0
Westbrook,2009-12-01,314250.0
Westbrook,2010-01-01,402375.0
Westbrook,2010-02-01,374628.571
Westbrook,2010-03-01,323909.091
Westbrook,2010-04-01,273250.0
Westbrook,2010-05-01,415571.429
Westbrook,2010-06-01,284687.5
Westbrook,2010-07-01,373301.667
Westbrook,2010-08-01,340800.0
Westbrook,2010-09-01,291393.462
Westbrook,2010-10-01,234600.0
Westbrook,2010-11-01,279861.111
Westbrook,2010-12-01,270708.333
Westbrook,2011-01-01,113333.333
Westbrook,2011-02-01,289966.667
Westbrook,2011-03-01,223655.556
Westbrook,2011-04-01,272050.0
Westbrook,2011-05-01,183250.0
Westbrook,2011-06-01,315307.692
Westbrook,2011-07-01,529383.222
Westbrook,2011-08-01,258625.0
Westbrook,2011-09-01,120186.0
Westbrook,2011-10-01,421187.5
Westbrook,2011-11-01,750000.0
Westbrook,2011-12-01,703314.05
Westbrook,2012-01-01,656628.099
Westbrook,2012-02-01,609942.149
Westbrook,2012-03-01,563256.198
Westbrook,2012-04-01,516570.248
Westbrook,2012-05-01,469884.298
Westbrook,2012-06-01,423198.347
Westbrook,2012-07-01,376512.397
Westbrook,2012-08-01,329826.446
Westbrook,2012-09-01,283140.496
Westbrook,2012-10-01,236454.545
Westbrook,2012-11-01,300250.0
Westbrook,2012-12-01,187400.444
Westbrook,2013-01-01,200700.0
Westbrook,2013-02-01,228108.429
Westbrook,2013-03-01,372500.0
Westbrook,2013-04-01,216392.308
Westbrook,2013-05-01,472226.667
Westbrook,2013-06-01,292820.467
Westbrook,2013-07-01,263863.636
Westbrook,2013-08-01,377736.364
Westbrook,2013-09-01,281656.111
Westbrook,2013-10-01,303440.417
Westbrook,2013-11-01,126333.333
Westbrook,2013-12-01,439729.0
Westbrook,2014-01-01,353814.286
Westbrook,2014-02-01,290890.5
Westbrook,2014-03-01,361500.0
Westbrook,2014-04-01,218866.667
Westbrook,2014-05-01,304722.222
Westbrook,2014-06-01,217750.0
Westbrook,2014-07-01,350618.556
Westbrook,2014-08-01,252598.056
Westbrook,2014-09-01,214903.333
Westbrook,2014-10-01,393818.182
Westbrook,2014-11-01,445751.769
Westbrook,2014-12-01,291818.182
Westbrook,2015-01-01,265500.0
Westbrook,2015-02-01,264934.143
Westbrook,2015-03-01,414000.0
Westbrook,2015-04-01,337330.417
Westbrook,2015-05-01,210007.0
Westbrook,2015-06-01,345649.95
Westbrook,2015-07-01,291751.25
Westbrook,2015-08-01,362700.0
Westbrook,2015-09-01,308312.5
Westbrook,2015-10-01,467444.444
Westbrook,2015-11-01,290042.857
Westbrook,2015-12-01,372133.333
