Town,Sale Amount,Date,Projected,Lower_CI,Upper_CI
Ashford,246795.7142857143,2009-07-01,False,,
Ashford,259610.0,2009-08-01,False,,
Ashford,212030.0,2009-09-01,False,,
Ashford,245050.0,2009-10-01,False,,
Ashford,426616.6666666667,2009-11-01,False,,
Ashford,277116.6666666667,2009-12-01,False,,
Ashford,380900.0,2010-01-01,False,,
Ashford,222625.0,2010-02-01,False,,
Ashford,180284.325,2010-03-01,False,,
Ashford,281368.75,2010-04-01,False,,
Ashford,200503.33333333337,2010-05-01,False,,
Ashford,272523.3333333333,2010-06-01,False,,
Ashford,236925.0,2010-07-01,False,,
Ashford,280800.0,2010-08-01,False,,
Ashford,208433.33333333337,2010-09-01,False,,
Ashford,253621.98400014947,2010-10-01,False,,
Ashford,364000.0,2010-11-01,False,,
Ashford,307796.6666666667,2010-12-01,False,,
Ashford,162058.0,2011-01-01,False,,
Ashford,253621.98400014947,2011-02-01,False,,
Ashford,214402.5,2011-03-01,False,,
Ashford,158296.66666666666,2011-04-01,False,,
Ashford,238615.0,2011-05-01,False,,
Ashford,176410.0,2011-06-01,False,,
Ashford,115862.5,2011-07-01,False,,
Ashford,336128.0,2011-08-01,False,,
Ashford,233783.33333333337,2011-09-01,False,,
Ashford,253621.98400014947,2011-10-01,False,,
Ashford,253621.98400014947,2011-11-01,False,,
Ashford,253621.98400014947,2011-12-01,False,,
Ashford,253621.98400014947,2012-01-01,False,,
Ashford,253621.98400014947,2012-02-01,False,,
Ashford,253621.98400014947,2012-03-01,False,,
Ashford,253621.98400014947,2012-04-01,False,,
Ashford,253621.98400014947,2012-05-01,False,,
Ashford,253621.98400014947,2012-06-01,False,,
Ashford,253621.98400014947,2012-07-01,False,,
Ashford,253621.98400014947,2012-08-01,False,,
Ashford,253621.98400014947,2012-09-01,False,,
Ashford,237900.0,2012-10-01,False,,
Ashford,178490.0,2012-11-01,False,,
Ashford,110500.0,2012-12-01,False,,
Ashford,184600.0,2013-01-01,False,,
Ashford,312000.0,2013-02-01,False,,
Ashford,289493.75,2013-03-01,False,,
Ashford,212550.0,2013-04-01,False,,
Ashford,273931.55833333335,2013-05-01,False,,
Ashford,171015.0,2013-06-01,False,,
Ashford,294103.3333333333,2013-07-01,False,,
Ashford,177406.66666666666,2013-08-01,False,,
Ashford,171652.26,2013-09-01,False,,
Ashford,253621.98400014947,2013-10-01,False,,
Ashford,155675.0,2013-11-01,False,,
Ashford,153612.55000000002,2013-12-01,False,,
Ashford,208650.0,2014-01-01,False,,
Ashford,137800.0,2014-02-01,False,,
Ashford,246638.16666666663,2014-03-01,False,,
Ashford,190666.66666666663,2014-04-01,False,,
Ashford,213850.0,2014-05-01,False,,
Ashford,247000.0,2014-06-01,False,,
Ashford,200655.0,2014-07-01,False,,
Ashford,248040.0,2014-08-01,False,,
Ashford,279482.2727272727,2014-09-01,False,,
