Date,Unemployed,Town
2025-06-01,849.8880866486543,Stratford
2025-07-01,971.5089339331174,Stratford
2025-08-01,878.5888953643024,Stratford
2025-09-01,617.6800000558022,Stratford
2025-10-01,601.7538857364898,Stratford
2024-11-01,131.86532625467225,Suffield
2024-12-01,127.87457870854736,Suffield
2025-01-01,203.1420194103934,Suffield
2025-02-01,207.5132455851767,Suffield
2025-03-01,178.50195539658657,Suffield
2025-04-01,129.2185725733504,Suffield
2025-05-01,167.26482104959615,Suffield
2025-06-01,171.74416724478195,Suffield
2025-07-01,173.2175441244971,Suffield
2025-08-01,141.8697281837965,Suffield
2025-09-01,121.88183974245499,Suffield
2025-10-01,122.0119379750305,Suffield
2024-11-01,99.18932150120476,Thomaston
2024-12-01,96.29320717829515,Thomaston
2025-01-01,150.7980162036776,Thomaston
2025-02-01,152.2546315225437,Thomaston
2025-03-01,126.99893491997561,Thomaston
2025-04-01,88.56189979972044,Thomaston
2025-05-01,97.5314062189004,Thomaston
2025-06-01,78.6385569839819,Thomaston
2025-07-01,90.87773045640469,Thomaston
2025-08-01,90.32772011435209,Thomaston
2025-09-01,72.32501913994838,Thomaston
2025-10-01,78.2998659634607,Thomaston
